timestamp_utc,trial_id,center_image,chosen_image,clicked_position,option_order
2026-04-14T12:48:34.837075+00:00,trial_24,network-snapshot-000320_21968.png,ESP_046273_1350_IRB.NOMAP.browse_11.jpg,1,ESP_046890_1355_IRB.NOMAP.browse_10.jpg;ESP_046273_1350_IRB.NOMAP.browse_11.jpg;ESP_049613_1010_IRB.NOMAP.browse_8.jpg;ESP_050982_1340_IRB.NOMAP.browse_1.jpg
2026-04-14T12:48:40.955214+00:00,trial_43,network-snapshot-000320_30443.png,ESP_036140_1490_IRB.NOMAP.browse_10.jpg,0,ESP_036140_1490_IRB.NOMAP.browse_10.jpg;ESP_016412_2030_IRB.NOMAP.browse_13.jpg;ESP_047830_1565_IRB.NOMAP.browse_1.jpg;ESP_028393_2140_IRB.NOMAP.browse_0.jpg
2026-04-14T12:48:43.764824+00:00,trial_23,network-snapshot-000320_15097.png,ESP_050393_2040_IRB.NOMAP.browse_1.jpg,3,ESP_027159_2430_IRB.NOMAP.browse_3.jpg;ESP_035584_1600_IRB.NOMAP.browse_3.jpg;ESP_053046_1970_IRB.NOMAP.browse_17.jpg;ESP_050393_2040_IRB.NOMAP.browse_1.jpg
2026-04-14T12:48:45.949611+00:00,trial_25,network-snapshot-000320_25085.png,ESP_057011_1915_IRB.NOMAP.browse_5.jpg,2,ESP_050919_1255_IRB.NOMAP.browse_10.jpg;ESP_048562_1955_IRB.NOMAP.browse_17.jpg;ESP_057011_1915_IRB.NOMAP.browse_5.jpg;ESP_057187_2085_IRB.NOMAP.browse_14.jpg
2026-04-14T12:48:49.283082+00:00,trial_46,network-snapshot-000320_17860.png,ESP_033616_2550_IRB.NOMAP.browse_2.jpg,1,ESP_050233_2640_IRB.NOMAP.browse_3.jpg;ESP_033616_2550_IRB.NOMAP.browse_2.jpg;ESP_052244_1990_IRB.NOMAP.browse_1.jpg;ESP_050479_2560_IRB.NOMAP.browse_6.jpg
2026-04-14T12:48:54.968219+00:00,trial_15,network-snapshot-000320_33484.png,ESP_032047_1395_IRB.NOMAP.browse_6.jpg,1,ESP_035545_2290_IRB.NOMAP.browse_2.jpg;ESP_032047_1395_IRB.NOMAP.browse_6.jpg;ESP_037978_0950_IRB.NOMAP.browse_20.jpg;ESP_029662_1750_IRB.NOMAP.browse_3.jpg
2026-04-14T12:48:59.137180+00:00,trial_32,network-snapshot-000320_49614.png,ESP_030148_1050_IRB.NOMAP.browse_2.jpg,2,ESP_029291_1890_IRB.NOMAP.browse_12.jpg;ESP_028806_2335_IRB.NOMAP.browse_5.jpg;ESP_030148_1050_IRB.NOMAP.browse_2.jpg;ESP_053467_1875_IRB.NOMAP.browse_21.jpg
2026-04-14T12:49:05.154599+00:00,trial_40,network-snapshot-000320_34061.png,ESP_038232_2040_IRB.NOMAP.browse_3.jpg,3,ESP_033477_2640_IRB.NOMAP.browse_6.jpg;ESP_046872_1515_IRB.NOMAP.browse_4.jpg;ESP_028483_1760_IRB.NOMAP.browse_0.jpg;ESP_038232_2040_IRB.NOMAP.browse_3.jpg
2026-04-14T12:49:09.400659+00:00,trial_51,network-snapshot-000320_01711.png,ESP_028432_2185_IRB.NOMAP.browse_1.jpg,3,ESP_054778_2675_IRB.NOMAP.browse_1.jpg;ESP_027163_2295_IRB.NOMAP.browse_12.jpg;ESP_043853_2200_IRB.NOMAP.browse_1.jpg;ESP_028432_2185_IRB.NOMAP.browse_1.jpg
2026-04-14T12:49:13.247757+00:00,trial_37,network-snapshot-000320_46102.png,ESP_049407_1845_IRB.NOMAP.browse_7.jpg,3,ESP_058005_1845_IRB.NOMAP.browse_4.jpg;ESP_055144_1090_IRB.NOMAP.browse_10.jpg;ESP_052634_2535_IRB.NOMAP.browse_3.jpg;ESP_049407_1845_IRB.NOMAP.browse_7.jpg
